,CV Mean F1,CV Std F1,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Train Time (s)
Gradient Boosting,0.9113666071345907,0.06589580813878981,0.8842930521762639,0.6077844311377245,0.7097902097902098,0.6548387096774193,0.9243463204528124,28.355831623077393
Random Forest,0.9383282176485196,0.03285497879965202,0.8859151121924844,0.6205787781350482,0.6748251748251748,0.6465661641541038,0.915012713541655,5.978895902633667
XGBoost,0.8778147842781816,0.1726262200347969,0.8878075155447418,0.643510054844607,0.6153846153846154,0.6291331546023236,0.9176515841050539,6.70569920539856
Logistic Regression,0.8325894836584121,0.012957736304194181,0.8556366585563666,0.5235148514851485,0.7395104895104895,0.6130434782608696,0.8932269361594595,0.274127721786499
Decision Tree,0.8936751511843681,0.048128002638640754,0.8496891051635577,0.5120845921450151,0.5926573426573427,0.5494327390599676,0.7446817253740823,0.6074132919311523
Naive Bayes,0.7504167804503223,0.004995091071936158,0.5168964585022979,0.22696629213483147,0.8828671328671329,0.3611011798355381,0.8014828551684964,0.07375955581665039
