,CV Mean F1,CV Std F1,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Train Time (s)
Gradient Boosting,0.6681776988584722,0.014745658931251737,0.8978102189781022,0.7055084745762712,0.5821678321678322,0.6379310344827587,0.927000006708993,7.65744686126709
Random Forest,0.6515623323029182,0.01821389104859165,0.9005136523384698,0.7405660377358491,0.548951048951049,0.6305220883534136,0.915187426899931,3.5359878540039062
XGBoost,0.6337988019863168,0.02343103290793695,0.8915923222492566,0.6762886597938145,0.5734265734265734,0.6206244087038788,0.9190582362952046,1.7400405406951904
Decision Tree,0.5779988352513276,0.026984007215561878,0.858610435252771,0.540495867768595,0.5716783216783217,0.5556499575191163,0.7413876098318055,0.17992186546325684
Logistic Regression,0.5105163129553374,0.029521031666766256,0.8796972154636388,0.7259786476868327,0.35664335664335667,0.47831184056271986,0.8912751782914878,0.10340452194213867
Naive Bayes,0.43595385210910925,0.015002417720342769,0.6690997566909975,0.2936708860759494,0.8111888111888111,0.43122676579925656,0.8058786432627174,0.034745216369628906
